date;usd_ars_sell
2018-09-01;36.85
2018-09-04;37.4
2018-09-05;38.88
2018-09-06;38.4
2018-09-07;37.35
2018-09-08;36.99
2018-09-11;37.38
2018-09-12;37.94
2018-09-13;38.25
2018-09-14;39.55
2018-09-15;39.86
2018-09-18;39.53
2018-09-20;39.21
2018-09-21;38.2
2018-09-22;37.15
2018-09-25;37.3
2018-09-26;38.1
2018-09-27;38.51
2018-09-28;39.7
2018-09-29;41.25
2018-09-30;41.25
2018-10-02;39.6
2018-10-03;38.1
2018-10-04;37.69
2018-10-05;38.3
2018-10-06;37.84
2018-10-09;37.42
2018-10-10;37.12
2018-10-11;37.25
2018-10-12;36.57
2018-10-13;36.75
2018-10-17;36
2018-10-18;36.18
2018-10-19;36.65
2018-10-20;36.54
2018-10-22;36.46
2018-10-23;36.46
2018-10-24;36.59
2018-10-25;37
2018-10-26;36.79
2018-10-27;36.84
2018-10-30;36.9
2018-10-31;35.95
2018-11-01;35.95
2018-11-02;35.67
2018-11-03;35.49
2018-11-06;35.65
2018-11-08;35.67
2018-11-09;35.5
2018-11-10;35.4
2018-11-13;35.58
2018-11-14;36.05
2018-11-15;35.9
2018-11-16;36.05
2018-11-17;35.93
2018-11-21;36.18
2018-11-22;36.26
2018-11-23;36.5
2018-11-24;37.6
2018-11-27;39.05
2018-11-28;38.55
2018-11-29;38.46
2018-11-30;37.72
2018-12-04;36.5
2018-12-05;37.4
2018-12-06;37.45
2018-12-07;37.7
2018-12-08;37.4
2018-12-11;37.66
2018-12-12;37.81
2018-12-13;37.59
2018-12-14;37.83
2018-12-15;38.17
2018-12-18;38.26
2018-12-19;38.26
2018-12-20;38.37
2018-12-21;38.05
2018-12-22;37.98
2018-12-27;38.6
2018-12-28;38.3
2018-12-29;37.7
2019-01-03;37.65
2019-01-04;37.45
2019-01-05;37.37
2019-01-08;37.31
2019-01-09;37.6
2019-01-10;37.37
2019-01-11;37.08
2019-01-12;36.9
2019-01-15;37
2019-01-16;37.1
2019-01-17;37.5
2019-01-18;37.71
2019-01-19;37.58
2019-01-22;37.7
2019-01-23;37.53
2019-01-24;37.56
2019-01-25;37.4
2019-01-26;37.03
2019-01-29;37.15
2019-01-30;37.7
2019-01-31;37.35
2019-02-01;37.35
2019-02-02;37.17
2019-02-05;37.19
2019-02-06;37.2
2019-02-07;37.52
2019-02-08;37.82
2019-02-09;37.85
2019-02-12;37.91
2019-02-13;37.99
2019-02-14;38.22
2019-02-15;38.22
2019-02-16;38.62
